0,26148
-70433,26148
-70433,47194
-405233,47194
-405233,120571
-180600,120571
-180600,376126
-405233,376126
-405233,564529
-710427,564529
-710427,1052949
-938308,1052949
-938308,1168535
-954387,1168535
-954387,1468271
-1276488,1468271
-1276488,1884517
-1342148,1884517
-1342148,1888099
-1419734,1888099
-1419734,2010167
-1373062,2010167
-1373062,2063511
-922594,2063511
-922594,2251237
-1289926,2251237
-1289926,2458908
-1419734,2458908
-1419734,2731632
-1879595,2731632
-1879595,2984993
-2080316,2984-150-208-138,62
-138,66
-146,66
-146,72
-154,72
-154,79
-161,79
-161,76
-169,76
-169,69
-171,69
-171,62
-174,62
-174,57
-183,57
-183,52
-190,52
-190,39
-193,39
-193,34
-200,34
-200,32
-208,32
-208,29
-211,29
-211,32
-217,32
-217,36
-228,36
-228,42
-231,42
-231,47
-222,47
-222,49
-217,49
-217,56
-227,56
-227,59
-233,59
-233,66
-220,66
-220,68
-218,68
-218,71
-226,71
-226,76
-233,76
-233,83
-227,83
-227,90
-222,90
-222,94
-215,94
-215,83
-211,83
-211,96
-206,96
-206,108
-200,108
-200,116
-190,116
-190,122
-183,122
-183,125
-180,125
-180,121
-176,121
-176,110
-173,110
-173,116
-166,116
-166,118
-173,118
-173,125
-167,125
-167,128
-173,128
-173,132
-186,132
-186,128
-191,128
-191,132
-198,132
-198,137
-185,137
-185,144
-183,144
-183,157
-178,157
-178,162
-167,162
-167,165
-163,165
-163,173
-158,173
-158,185
-155,185
-155,180
-153,180
-153,168
-148,168
-148,165
-145,165
-145,177
-150,177
-150,180
-136,180
-136,186
-150,186
-150,192
-145,192
-145,199
-134,199
-134,194
-130,194
-130,184
-123,184
-123,177
-112,177
-112,171
-118,171
-118,169
-126,169
-126,163
-130,163
-130,156
-120,156
-120,150
-115,150
-115,156
-105,156
-105,146
-114,146
-114,140
-118,140
-118,146
-128,146
-128,142
-135,142
-135,134
-131,134
-131,129
-127,129
-127,123
-123,123
-123,117
-114,117
-114,112
-105,112
-105,101
-99,101
-99,96
-85,96
-85,101
-82,101
-82,109
-78,109
-78,121
-70,121
-70,126
-64,126
-64,124
-60,124
-60,121
-57,121
-57,109
-54,109
-54,113
-42,113
-42,120
-40,120
-40,126
-28,126
-28,132
-23,132
-23,135
-21,135
-21,149
-17,149
-17,152
-25,152
-25,139
-28,139
-28,152
-36,152
-36,156
-32,156
-32,160
-22,160
-22,163
